S.No.,"Particle mean size
  d50 (mm)","Pile Diameter
 D (m)","Time Period of wave
 T (s)","Height of wave
    H(m)","Current Velocity
    Uc(m/s)","Maximum wave 
orbital velocity 
 Uwm (m/s)","Maximum shear velocity
 Ufm (m/s)","Maximum value of 
combined waves and current velocity
         Um(m/s)","Velocity Ratio
         Ucw","Keulegan–Carpenter 
              number
                   KC","Pile Reynolds                  number
           Re","Froude 
number
       Fr","Shield number
            ᶿ",S/D,Reference ,
1,0.18,0.05,1.19,0.16,0,0.21,0.033,0.21,0,4.9,10000,0.2970,0.37,0,"SCOUR AROUND VERTICAL PILE IN WAVES 
By B. Mutlu Sumer, j0rgen Freds0e, and Niels Christiansen (1992)",
72,0.38,0.08,1.8,0.11,0.22,0.129,0.0216,0.349,0.63,2.9,20500,0.341,0.077,0.7,,
73,0.38,0.08,1.8,0.06,0.26,0.087,0.0199,0.347,0.75,1.96,20400,0.356,0.065,1,,
74,0.38,0.08,2,0.08,0.107,0.09,0.0154,0.197,0.54,2.25,11600,0.186,0.039,0.33,,
75,0.38,0.08,1.4,0.15,0.2,0.136,0.0229,0.336,0.6,2.38,19800,0.324,0.086,0.76,,
76,0.38,0.08,1.4,0.14,0.23,0.141,0.0220,0.371,0.62,2.47,21200,0.361,0.08,0.78,,
77,0.38,0.08,1.8,0.14,0.18,0.162,0.0235,0.342,0.53,3.65,20100,0.32,0.091,0.73,,
78,0.38,0.08,1.8,0.08,0.27,0.122,0.0226,0.396,0.69,2.75,23300,0.397,0.084,1.03,,
79,0.38,0.08,2,0.10,0.11,0.144,0.0196,0.253,0.43,3.6,14900,0.227,0.063,0.25,,
80,0.38,0.08,2,0.09,0.21,0.111,0.0196,0.321,0.65,2.78,18900,0.317,0.063,0.75,,
81,0.38,0.2,1.4,0.13,0.22,0.14,0.0186,0.36,0.61,0.98,19100,0.221,0.057,0.29,,
82,0.18,0.01,2.7,0.16,0,0.351,0.0195,0.351,0,94.8,3510,1.121,0.131,1.20,"Scour at Vertical Piles in Sand-Clay Mixtures under Waves
Subhasish Dey; Anders Helkjær; B. Mutlu Sumer; and Jørgen Fredsøe(2011)",
83,0.18,0.02,2.7,0.16,0,0.351,0.0195,0.351,0,47.4,7020,0.792,0.131,1.00,,
84,0.18,0.04,2.7,0.16,0,0.351,0.0195,0.351,0,23.7,14040,0.560,0.131,0.55,,
85,0.18,0.075,2.7,0.16,0,0.351,0.0195,0.351,0,12.6,26325,0.409,0.131,0.31,,
86,0.18,0.03,                                   ∞,0.16,0,0.405,0.0189,0.405,0,Steady current,12150,0.747,0.123,1.37,,
87,0.18,0.01,2.7,0.16,0,0.351,0.0195,0.351,0,94.8,3510,1.121,0.131,1.00,,
88,0.18,0.02,2.7,0.16,0,0.351,0.0195,0.351,0,47.4,7020,0.792,0.131,0.70,,
89,0.18,0.04,2.7,0.16,0,0.351,0.0195,0.351,0,23.7,14040,0.560,0.131,0.38,,
90,0.18,0.075,2.7,0.16,0,0.351,0.0195,0.351,0,12.6,26325,0.409,0.131,0.19,,
91,0.18,0.03,                                   ∞,0.16,0,0.405,0.0189,0.405,0,Steady current,12150,0.747,0.123,1.13,,
92,0.18,0.01,2.7,0.16,0,0.351,0.0195,0.351,0,94.8,3510,1.121,0.131,0.70,,
93,0.18,0.02,2.7,0.16,0,0.351,0.0195,0.351,0,47.4,7020,0.792,0.131,0.45,,
94,0.18,0.04,2.7,0.16,0,0.351,0.0195,0.351,0,23.7,14040,0.560,0.131,0.28,,
95,0.18,0.075,2.7,0.16,0,0.351,0.0195,0.351,0,12.6,26325,0.409,0.131,0.09,,
96,0.18,0.03,                                   ∞,0.16,0,0.405,0.0189,0.405,0,Steady current,12150,0.747,0.123,0.70,,
97,0.18,0.01,2.7,0.16,0,0.351,0.0195,0.351,0,94.8,3510,1.121,0.131,0.50,,
98,0.18,0.02,2.7,0.16,0,0.351,0.0195,0.351,0,47.4,7020,0.792,0.131,0.30,,
